127.0.0.1 - - [20/May/2026:11:07:34 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/May/2026:11:07:36 +0530] "GET /School_Management_System/dashboard.jsp HTTP/1.1" 200 14226
0:0:0:0:0:0:0:1 - - [20/May/2026:11:07:36 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/May/2026:11:39:29 +0530] "GET /School_Management_System/classes.jsp HTTP/1.1" 200 21991
0:0:0:0:0:0:0:1 - - [20/May/2026:11:39:30 +0530] "GET /School_Management_System/student.jsp HTTP/1.1" 200 24988
0:0:0:0:0:0:0:1 - - [20/May/2026:11:39:31 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23869
0:0:0:0:0:0:0:1 - - [20/May/2026:11:39:32 +0530] "GET /School_Management_System/dashboard.jsp HTTP/1.1" 200 14226
0:0:0:0:0:0:0:1 - - [20/May/2026:11:39:33 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23869
0:0:0:0:0:0:0:1 - - [20/May/2026:11:39:34 +0530] "GET /School_Management_System/student.jsp HTTP/1.1" 200 24988
0:0:0:0:0:0:0:1 - - [20/May/2026:11:39:35 +0530] "GET /School_Management_System/classes.jsp HTTP/1.1" 200 21991
0:0:0:0:0:0:0:1 - - [20/May/2026:11:39:36 +0530] "GET /School_Management_System/dashboard.jsp HTTP/1.1" 200 14226
0:0:0:0:0:0:0:1 - - [20/May/2026:11:39:38 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23869
0:0:0:0:0:0:0:1 - - [20/May/2026:11:39:39 +0530] "GET /School_Management_System/dashboard.jsp HTTP/1.1" 200 14226
0:0:0:0:0:0:0:1 - - [20/May/2026:11:42:29 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23869
0:0:0:0:0:0:0:1 - - [20/May/2026:11:42:30 +0530] "GET /School_Management_System/student.jsp HTTP/1.1" 200 24988
0:0:0:0:0:0:0:1 - - [20/May/2026:11:42:33 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23869
0:0:0:0:0:0:0:1 - - [20/May/2026:11:42:34 +0530] "GET /School_Management_System/student.jsp HTTP/1.1" 200 24988
0:0:0:0:0:0:0:1 - - [20/May/2026:11:42:36 +0530] "GET /School_Management_System/classes.jsp HTTP/1.1" 200 21991
0:0:0:0:0:0:0:1 - - [20/May/2026:11:42:36 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23869
0:0:0:0:0:0:0:1 - - [20/May/2026:11:54:53 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23873
0:0:0:0:0:0:0:1 - - [20/May/2026:11:54:57 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23873
0:0:0:0:0:0:0:1 - - [20/May/2026:11:54:58 +0530] "GET /School_Management_System/student.jsp HTTP/1.1" 200 24992
0:0:0:0:0:0:0:1 - - [20/May/2026:11:54:59 +0530] "GET /School_Management_System/classes.jsp HTTP/1.1" 200 21995
0:0:0:0:0:0:0:1 - - [20/May/2026:11:55:00 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23873
0:0:0:0:0:0:0:1 - - [20/May/2026:11:55:25 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23892
0:0:0:0:0:0:0:1 - - [20/May/2026:11:55:53 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23893
0:0:0:0:0:0:0:1 - - [20/May/2026:11:56:25 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23860
0:0:0:0:0:0:0:1 - - [20/May/2026:11:56:36 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23860
0:0:0:0:0:0:0:1 - - [20/May/2026:11:56:39 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23860
0:0:0:0:0:0:0:1 - - [20/May/2026:11:56:41 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/May/2026:11:57:22 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23860
0:0:0:0:0:0:0:1 - - [20/May/2026:11:57:22 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/May/2026:11:58:03 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23860
0:0:0:0:0:0:0:1 - - [20/May/2026:11:58:03 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/May/2026:11:58:06 +0530] "GET /School_Management_System/teacher.jsp HTTP/1.1" 200 23860
