127.0.0.1 - - [28/May/2026:10:46:57 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [28/May/2026:10:46:58 +0530] "GET /School_Management_System/login/login.jsp HTTP/1.1" 200 7972
0:0:0:0:0:0:0:1 - - [28/May/2026:10:46:58 +0530] "GET /School_Management_System/login/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2026:10:46:58 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/May/2026:10:47:38 +0530] "POST /School_Management_System/Login HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [28/May/2026:10:47:38 +0530] "GET /School_Management_System/admin/dashboard/dashboard.jsp HTTP/1.1" 200 13267
0:0:0:0:0:0:0:1 - - [28/May/2026:10:47:38 +0530] "GET /School_Management_System/admin/dashboard/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2026:10:47:38 +0530] "GET /School_Management_System/AdminDashboard HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [28/May/2026:10:47:41 +0530] "GET /School_Management_System/admin/manage_teacher/addteacher.jsp HTTP/1.1" 200 17476
0:0:0:0:0:0:0:1 - - [28/May/2026:10:47:41 +0530] "GET /School_Management_System/AddTeacher HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [28/May/2026:10:47:47 +0530] "GET /School_Management_System/admin/manage_student/addstudent.jsp HTTP/1.1" 200 15826
0:0:0:0:0:0:0:1 - - [28/May/2026:10:47:47 +0530] "GET /School_Management_System/AddStudent HTTP/1.1" 200 12025
0:0:0:0:0:0:0:1 - - [28/May/2026:10:47:49 +0530] "GET /School_Management_System/admin/manage_classes/addclasses.jsp HTTP/1.1" 200 18615
0:0:0:0:0:0:0:1 - - [28/May/2026:10:47:49 +0530] "GET /School_Management_System/admin/manage_classes/addclasses.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2026:10:47:49 +0530] "GET /School_Management_System/AddClasses HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [28/May/2026:10:47:56 +0530] "GET /School_Management_System/admin/manage_student/addstudent.jsp HTTP/1.1" 200 15826
0:0:0:0:0:0:0:1 - - [28/May/2026:10:47:57 +0530] "GET /School_Management_System/AddStudent HTTP/1.1" 200 12025
